State,year,accredited_capacity_mw,accredited_projects
ACT,2015,0.776,2
ACT,2016,27.477999999999998,6
ACT,2018,0.8428,3
ACT,2019,0.5493,2
ACT,2020,7.3472,7
ACT,2021,1.6577000000000002,3
ACT,2022,0.5877,3
ACT,2023,1.6163,7
ACT,2024,0.7917,2
NSW,2015,160.3365,15
NSW,2016,68.0629,22
NSW,2017,549.3045,25
NSW,2018,745.1012,79
NSW,2019,1410.9552,80
NSW,2020,947.5605,97
NSW,2021,902.3515,74
NSW,2022,1133.4236,65
NSW,2023,727.5821,145
NSW,2024,937.4823,141
NT,2015,1.6668,3
NT,2016,8.4695,7
NT,2018,8.2757,23
NT,2019,3.1601,7
NT,2020,35.920300000000005,7
NT,2021,26.7373,6
NT,2022,21.2063,3
NT,2023,16.2346,8
NT,2024,0.252,1
QLD,2015,13.4632,8
QLD,2016,5.3822,15
QLD,2017,141.4678,28
QLD,2018,1528.7366,66
QLD,2019,1255.7431,80
QLD,2020,279.6447,58
QLD,2021,696.0541000000001,46
QLD,2022,703.7178,51
QLD,2023,692.1526,87
QLD,2024,1007.9823,75
SA,2015,10.025,2
SA,2016,104.23970000000001,9
SA,2017,232.8101,22
SA,2018,428.08140000000003,59
SA,2019,407.9777,70
SA,2020,42.1479,49
SA,2021,100.00150000000001,41
SA,2022,384.03069999999997,24
SA,2023,212.2658,39
SA,2024,227.475,25
TAS,2015,0.279,1
TAS,2016,1.025,3
TAS,2017,4.364599999999999,2
TAS,2018,1.7442,6
TAS,2019,151.6053,4
TAS,2020,111.7543,2
TAS,2021,1.8306,4
TAS,2022,0.6328,2
TAS,2023,11.769,7
TAS,2024,2.887,3
VIC,2015,115.93639999999999,10
VIC,2016,265.2753,16
VIC,2017,69.8594,29
VIC,2018,751.2417,110
VIC,2019,662.3729999999999,110
VIC,2020,2096.8056,97
VIC,2021,597.9317,78
VIC,2022,287.0402,37
VIC,2023,177.5222,66
VIC,2024,1323.7023,72
WA,2015,3.3865,7
WA,2016,14.076400000000001,20
WA,2017,118.77640000000001,18
WA,2018,6.0208,16
WA,2019,217.93440000000004,38
WA,2020,550.486,20
WA,2021,86.9581,19
WA,2022,35.5681,17
WA,2023,221.6542,34
WA,2024,481.9377,34
